method,config_id,year,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight
benchmark_100_d,benchmark_100_d,2016,7,2016-12-21,2016-12-30,-0.012801905689921123,-0.37113836607911344,0.05459581124689818,-8.460771528709369,-10.446955709175878,-0.010770287837922776,-34.45946586239922,0.0,0.0
benchmark_100_d,benchmark_100_d,2017,251,2017-01-03,2017-12-29,0.1758952780469012,0.17665460706138592,0.06633768978944796,2.4862042464743057,3.77923228562874,-0.030253604981224536,5.839125855282973,0.0,0.0
benchmark_100_d,benchmark_100_d,2018,251,2018-01-02,2018-12-31,-0.056476710101605265,-0.056695214676542816,0.15081744968456143,-0.3112448501717656,-0.459524758227494,-0.17535993578362696,-0.3233076838400413,0.0,0.0
benchmark_100_d,benchmark_100_d,2019,252,2019-01-02,2019-12-31,0.2507520003806547,0.2507520003806547,0.11931535295686324,1.9358573501036427,2.672425127339281,-0.07879631993917302,3.1822806011019704,0.0,0.0
benchmark_100_d,benchmark_100_d,2020,253,2020-01-02,2020-12-31,0.06625245727437434,0.06598213491540128,0.34875716319841094,0.35919804563648594,0.22505982608879951,-0.3671295816808847,0.1797243758274812,0.0,0.0
benchmark_100_d,benchmark_100_d,2021,252,2021-01-04,2021-12-31,0.30832484638478674,0.30832484638478674,0.12953883917565825,2.1405279400804407,3.4959550495671072,-0.051824807556396846,5.949367897782566,0.0,0.0
benchmark_100_d,benchmark_100_d,2022,251,2022-01-03,2022-12-30,-0.01867084893047699,-0.01874453323017855,0.19840834057470974,0.0038798943286023958,-0.14761577044615684,-0.1731594918303001,-0.10825010533380741,0.0,0.0
benchmark_100_d,benchmark_100_d,2023,250,2023-01-03,2023-12-29,0.10598830040307083,0.10687999178484242,0.12655013648440908,0.8658272392919589,1.4218075733894198,-0.0952592798046763,1.1219903405105909,0.0,0.0
benchmark_100_d,benchmark_100_d,2024,252,2024-01-02,2024-12-31,0.15545438288364322,0.15545438288364322,0.1069070596138467,1.4054622607415046,2.1807564012255023,-0.06986662497900364,2.225016349800215,0.0,0.0
benchmark_100_d,benchmark_100_d,2025,250,2025-01-02,2025-12-31,0.1220509829101486,0.12308516659548663,0.15462081185268922,0.8281403211637284,1.0212298329494522,-0.1516343510956446,0.8117235026636521,0.0,0.0
benchmark_100_d,benchmark_100_d,2026,93,2026-01-02,2026-05-15,0.08932893594330782,0.26092429198379663,0.1016112129201257,2.333482897838194,4.101900257930411,-0.05893785850706046,4.4271084595403005,0.0,0.0
benchmark_100_g,benchmark_100_g,2016,7,2016-12-21,2016-12-30,-0.015599882703074996,-0.4322205836251044,0.0690717387459587,-8.15087406591821,-9.502433117710853,-0.016009738002558893,-26.997355206938494,0.0,1.0
benchmark_100_g,benchmark_100_g,2017,251,2017-01-03,2017-12-29,0.31805915013092245,0.31951012998455974,0.09078588415358707,3.101162369448305,4.099771486502088,-0.038719025450660194,8.252018904548947,0.0,1.0
benchmark_100_g,benchmark_100_g,2018,251,2018-01-02,2018-12-31,-0.005983069205709235,-0.006006834399078342,0.2155698697617325,0.08014454352846348,-0.03581647122132653,-0.2253859754014398,-0.026651322862389467,0.0,1.0
benchmark_100_g,benchmark_100_g,2019,252,2019-01-02,2019-12-31,0.4099805185258196,0.4099805185258196,0.15671742347049478,2.2723744294736754,3.2910974449050485,-0.09273238289142105,4.421114887189512,0.0,1.0
benchmark_100_g,benchmark_100_g,2020,253,2020-01-02,2020-12-31,0.42436687450309374,0.4223768129898795,0.3678830053526428,1.1439854710749742,1.328932394516234,-0.3080815076970511,1.3709904763424474,0.0,1.0
benchmark_100_g,benchmark_100_g,2021,252,2021-01-04,2021-12-31,0.30412027706908296,0.30412027706908296,0.17965782726144955,1.5686383318638566,2.5081823875309235,-0.09833974395689915,3.092546968623127,0.0,1.0
benchmark_100_g,benchmark_100_g,2022,251,2022-01-03,2022-12-30,-0.30509052839145046,-0.3060974824706154,0.3219157052784959,-0.9734664215275807,-1.6252589525288188,-0.33923625433193116,-0.9023135899004162,0.0,1.0
benchmark_100_g,benchmark_100_g,2023,250,2023-01-03,2023-12-29,0.47850396744219004,0.4831363333023775,0.16793449693201506,2.432739438403016,5.047499521856036,-0.10688934836837682,4.519967056374283,0.0,1.0
benchmark_100_g,benchmark_100_g,2024,252,2024-01-02,2024-12-31,0.2906118919532208,0.2906118919532208,0.19108933548290258,1.4315300691773154,2.038768405294572,-0.14224853024626027,2.0429869570540675,0.0,1.0
